name,role,sentence,true_role
Yukos,Author,"Many commentators believe the Russian government's aggressive pursuit of Yukos is a politically-motivated response to the political ambitions of its former chief executive, Mikhail Khodorkovsky.",unknown
Mikhail Khodorkovsky,Author,"Many commentators believe the Russian government's aggressive pursuit of Yukos is a politically-motivated response to the political ambitions of its former chief executive, Mikhail Khodorkovsky.",unknown
Khodorkovsky,Author,"Mr Khodorkovsky, who had funded liberal opposition groups, was arrested in October last year on fraud and tax evasion charges and is still in jail Analysts believe that if its production unit is auctioned off, it is likely to be bought up by a government-backed firm, like Gazprom, effectively bringing a large chunk of Russia's lucrative oil and gas industry back under state control.",unknown
Ray,Film Actor,"Ray DVD beats box office takings

Oscar-nominated film biopic Ray has surpassed its US box office takings with a combined tally of $80m (Â£43m) from DVD and video sales and rentals.

",unknown
Oscar,Film Actor,"Ray DVD beats box office takings

Oscar-nominated film biopic Ray has surpassed its US box office takings with a combined tally of $80m (Â£43m) from DVD and video sales and rentals.

",unknown
Ray,Film Actor,"Ray DVD beats box office takings

Oscar-nominated film biopic Ray has surpassed its US box office takings with a combined tally of $80m (Â£43m) from DVD and video sales and rentals.

",unknown
Ray,Author,"Ray's success on DVD outstripped its $74m (Â£40m) US box office total, earning more than $40m (Â£22m) on the first day of the DVD's release alone.",unknown
Ray,Film Actor,Ray has been nominated in six Oscar categories including best film and best actor for Jamie Foxx.,unknown
Jamie Foxx,Film Actor,Ray has been nominated in six Oscar categories including best film and best actor for Jamie Foxx.,unknown
Ray Charles,Musician,"The film recounts the life of blues singer Ray Charles, who died in 2004.",unknown
Michelle Gellar,Film Actor,"Sony horror film The Grudge, starring Michelle Gellar, was the US' second best-selling DVD, with Jennifer Lopez and Richard Gere's romantic comedy Shall We Dance?",unknown
Jennifer Lopez,Film Actor,"Sony horror film The Grudge, starring Michelle Gellar, was the US' second best-selling DVD, with Jennifer Lopez and Richard Gere's romantic comedy Shall We Dance?",unknown
Richard Gere,Film Actor,"Sony horror film The Grudge, starring Michelle Gellar, was the US' second best-selling DVD, with Jennifer Lopez and Richard Gere's romantic comedy Shall We Dance?",unknown
Ray,Film Actor,"Foxx's critically acclaimed performance as Ray has already earned him a Screen Actors Guild Award for best actor, as well as a prestigious Golden Globe.",unknown
Ray,Film Actor,"Ray director Taylor Hackford, responsible for the classic 1982 film An Officer and a Gentleman, has also received an Oscar nomination in the best director category.",unknown
Taylor Hackford,Film Actor,"Ray director Taylor Hackford, responsible for the classic 1982 film An Officer and a Gentleman, has also received an Oscar nomination in the best director category.",unknown
Oscar,Film Actor,"Ray director Taylor Hackford, responsible for the classic 1982 film An Officer and a Gentleman, has also received an Oscar nomination in the best director category.",unknown
Adriano,Author,"Adriano's Chelsea link rejected

Adriano's agent Gilmar Rinaldi has insisted that he has had no contact with Chelsea over the striker.

",unknown
Adriano,Author,"Adriano's Chelsea link rejected

Adriano's agent Gilmar Rinaldi has insisted that he has had no contact with Chelsea over the striker.

",unknown
Gilmar Rinaldi,Author,"Adriano's Chelsea link rejected

Adriano's agent Gilmar Rinaldi has insisted that he has had no contact with Chelsea over the striker.

",unknown
Chelsea,Author,Chelsea were reported to have made inquiries about Inter Milan's 22-year-old Brazilian star.,unknown
Adriano,Author,"Rinaldi told BBC Sport from Rio de Janeiro: ""I can assure you that Chelsea have had no dealings whatsoever with either me or Adriano.",unknown
Parma,Author,"""Parma and Real Madrid are interested but there's nothing new there.",unknown
Adriano,Author,Adriano has scored 14 goals in 20 Serie A appearances this season.,unknown
Jose Mourinho,Author,And Chelsea boss Jose Mourinho had claimed that he was in Milan talking to Adriano on the day he is alleged to have held a clandestine meeting with Arsenal defender Ashley Cole.,unknown
Adriano,Author,And Chelsea boss Jose Mourinho had claimed that he was in Milan talking to Adriano on the day he is alleged to have held a clandestine meeting with Arsenal defender Ashley Cole.,unknown
Ashley Cole,Author,And Chelsea boss Jose Mourinho had claimed that he was in Milan talking to Adriano on the day he is alleged to have held a clandestine meeting with Arsenal defender Ashley Cole.,unknown
Chelsea,Author,"""If Chelsea are interested then they must make an offer.""",unknown
Adriano,Author,"Inter are reported to have slapped a price tag in the region of Â£40m on the head of Adriano, who joined them just over a year ago from Parma.",unknown
Ronaldo,Author,Real Madrid view him as a natural replacement for compatriot Ronaldo.,unknown
Rinaldi,Author,"But Rinaldi said: ""I cannot give you a price that Inter would accept for Adriano.",unknown
Adriano,Author,"But Rinaldi said: ""I cannot give you a price that Inter would accept for Adriano.",unknown
Simon Wolfson,Author,"Next chief executive Simon Wolfson admitted that festive sales were ""below where we would expect a normal Christmas to be"", but said sales should still top analyst expectations.

",unknown
Wolfson,Author,"Among areas where Next could have done better, Mr Wolfson said menswear ranges were ""a little bit too similar to the previous year"".",unknown
Wolfson,Author,"Mr Wolfson also said that disappointing pre-Christmas sales were ""more to do with the fact that we went in with too much stock rather than (the fact that) demand wasn't there for the stock"".",unknown
Nick Bubb,Author,"""In terms of all the worries about their trading pre-Christmas, it's a result,"" said Nick Bubb, an analyst at Evolution Securities.",unknown
Fraser,Author,Next's trading statement comes a day after House of Fraser and Woolworths disappointed investors with their figures.,unknown
Tom Cruise,Author,"The Last Samurai, starring Tom Cruise, was the biggest foreign movie hit in Japan last year, taking 13.8bn yen (Â£70.7m).

",unknown
Harry Potter,Author,"It was followed by Harry Potter and the Prisoner of Azkaban, Finding Nemo and The Lord of the Rings: The Return of the King.",unknown
Finding Nemo,Author,"It was followed by Harry Potter and the Prisoner of Azkaban, Finding Nemo and The Lord of the Rings: The Return of the King.",unknown
Mickey Mouse,Business Executive,"Ailing EuroDisney vows turnaround

EuroDisney, the European home of Mickey Mouse and friends, has said it will sell 253m euros (Â£175m; $328m) of new shares as it looks to avoid insolvency.

",unknown
Al-Walid bin Talal,Author,"The US Disney Corporation and Saudi Arabian prince Al-Walid bin Talal, the firm's two main shareholders, will buy the new stock.",unknown
Encarta,Author,"For its direct answer feature, Microsoft is calling on its Encarta encyclopaedia to provide answers to questions about definitions, facts, calculations, conversions and solutions to equations.",unknown
Tony Macklin,Musician,"Tony Macklin, director of product at Ask Jeeves, pointed out that its search engine has been answering specific queries this way since April 2003.",unknown
Brian,Musician,Brian 'Head' Welch told a radio station in California that his bandmates respected his decision to leave.,unknown
Welch,Musician,Brian 'Head' Welch told a radio station in California that his bandmates respected his decision to leave.,unknown
Korn,Musician,"A replacement guitarist has yet to be named by Korn, who are currently at work on their eighth studio album.",unknown
Welch,Author,"Welch added that he would appear at a church in Bakersfield to explain how he ""got to this place in life"".",unknown
Korn,Musician,"The remaining members of Korn, who are known for their hardcore brand of rock, said they hoped Welch ""finds the happiness he is looking for"".

",unknown
Welch,Musician,"The remaining members of Korn, who are known for their hardcore brand of rock, said they hoped Welch ""finds the happiness he is looking for"".

",unknown
Korn,Musician,"""Anger is a good thing, and if kids want to listen to Korn, good, but there's happiness after the anger,"" he told his local radio station in Bakersfield.",unknown
Welch,Musician,"""I'm going to show it through my actions, how much I love my fans,"" added Welch.",unknown
Korn,Musician,"Korn have enjoyed a moderate degree of chart success in the UK, with 10 singles breaking into the Top 40.",unknown
Untouchables,Musician,"Their best performance to date in the UK has been 2002's Here To Stay, which reached number 12, while their album Untouchables, released in the same year, made it to number four.",unknown
Eliot Spitzer,Author,"This is the issue at the heart of the inquiry by New York's top law officer, Eliot Spitzer, and a separate prosecution of five insurers by the State of California.",unknown
Michael Cherkasky,Business Executive,"Marsh's new chief executive, Michael Cherkasky, is trying to negotiate a settlement with Mr Spitzer.",unknown
Spitzer,Business Executive,"Marsh's new chief executive, Michael Cherkasky, is trying to negotiate a settlement with Mr Spitzer.",unknown
Spitzer,Politician,"Mr Spitzer has built up a reputation as a fierce critic and campaigner against corporate America's misdeeds.

",unknown
Fitch,Author,"The uncertainty unleashed by the scandal has prompted three credit rating agencies - Standard & Poor's, Moody's and Fitch - to downgrade Marsh in recent weeks.",unknown
Doubts,Author,Doubts also exist over how much the company may have to pay regulators and lawyers to put the scandal behind.,unknown
Brent Bozell,Author,"Brent Bozell, PTC president and conservative activist said: ""MTV is blatantly selling raunchy sex to kids.",unknown
Janet Jackson,TV Personality,"""

The watchdog decided to look at MTV's programmes after Janet Jackson's infamous ""wardrobe malfunction"" at last year's Super Bowl.",unknown
Jeannie Kedas,Author,MTV spokeswoman Jeannie Kedas said the network follows the same standards as broadcasters and reflects the culture and what its viewers are interested in.,unknown
Ms Kedas,TV Personality,Ms Kedas also highlighted the fact MTV won an award in 2004 for the Fight for Your Rights series that focused on issues such as sexual health and tolerance.,unknown
Ian Macfarlane,Author,"""Over recent months it has become increasingly clear that remaining spare capacity in the labour and goods markets is becoming rather limited,"" said Ian Macfarlane, Governor of the Reserve Bank.

",unknown
Treasurer Peter Costello,Author,"""The economy has been strong and it is properly moderating but it doesn't look to me like it's slowing in any unreasonable way,"" said Treasurer Peter Costello.",unknown
Michael Blythe,Author,"""That 1.5% annual growth rate is the lowest we have seen since the post-election slump we saw back in 2000-1,"" said Michael Blythe, chief economist at the Commonwealth Bank of Australia.",unknown
Nicolas Almagro,Author,"Almagro continues Spanish surge

Unseeded Nicolas Almagro became the fifth Spaniard to reach the last eight at the Buenos Aires Open, ousting eighth seed Mariano Zabaleta.

",unknown
Mariano Zabaleta,Author,"Almagro continues Spanish surge

Unseeded Nicolas Almagro became the fifth Spaniard to reach the last eight at the Buenos Aires Open, ousting eighth seed Mariano Zabaleta.

",unknown
Rafael Nadal,Author,"Compatriot and seventh seed Rafael Nadal also reached the last eight, beating Italian Potito Starace 6-1 6-3.",unknown
Starace,Author,"Nadal, playing in the outdoor clay event for the first time, hit some powerful forehands to oust Starace in a match delayed over an hour by rain.",unknown
Gaston Gaudio,Author,"He will now play Gaston Gaudio, who beat unseeded Brazilian Flavio Saretta 6-3 6-2 in the day's late match.",unknown
Davis,Film Actor,"Stars pay tribute to actor Davis

Hollywood stars including Spike Lee, Burt Reynolds and Oscar nominee Alan Alda have paid tribute to actor Ossie Davis at a funeral in New York.

",unknown
Spike Lee,Film Actor,"Stars pay tribute to actor Davis

Hollywood stars including Spike Lee, Burt Reynolds and Oscar nominee Alan Alda have paid tribute to actor Ossie Davis at a funeral in New York.

",unknown
Burt Reynolds,Film Actor,"Stars pay tribute to actor Davis

Hollywood stars including Spike Lee, Burt Reynolds and Oscar nominee Alan Alda have paid tribute to actor Ossie Davis at a funeral in New York.

",unknown
Oscar,Film Actor,"Stars pay tribute to actor Davis

Hollywood stars including Spike Lee, Burt Reynolds and Oscar nominee Alan Alda have paid tribute to actor Ossie Davis at a funeral in New York.

",unknown
Alan Alda,Film Actor,"Stars pay tribute to actor Davis

Hollywood stars including Spike Lee, Burt Reynolds and Oscar nominee Alan Alda have paid tribute to actor Ossie Davis at a funeral in New York.

",unknown
Ossie Davis,Film Actor,"Stars pay tribute to actor Davis

Hollywood stars including Spike Lee, Burt Reynolds and Oscar nominee Alan Alda have paid tribute to actor Ossie Davis at a funeral in New York.

",unknown
Ossie Davis,Film Actor,"Veteran star Ossie Davis, a well-known civil rights activist, died in Miami at the age of 87 on 4 February 2005.",unknown
Ruby Dee,Author,"Friends and family, including actress Ruby Dee his wife of 56 years, gathered at the Riverside Church on Saturday.",unknown
Bill Clinton,Author,"Also present at the service was former US president Bill Clinton and singer Harry Belafonte, who gave the eulogy.",unknown
Harry Belafonte,Author,"Also present at the service was former US president Bill Clinton and singer Harry Belafonte, who gave the eulogy.",unknown
Clinton,Politician,"""He would have been a very good president of the United States,"" said Mr Clinton.",unknown
Davis,Film Actor,Davis made his acting debut in 1950 in No Way Out starring Sidney Poiter.,unknown
Sidney Poiter,Film Actor,Davis made his acting debut in 1950 in No Way Out starring Sidney Poiter.,unknown
Spike Lee,Film Actor,"He frequently collaborated with director Spike Lee, starring in seven Lee films including Jungle Fever, Do The Right Thing and Malcolm X. Attallah Shabazz, the daughter of activist Malcolm X, recalled the famous eulogy delivered by Davis at her father's funeral.",unknown
Lee,Film Actor,"He frequently collaborated with director Spike Lee, starring in seven Lee films including Jungle Fever, Do The Right Thing and Malcolm X. Attallah Shabazz, the daughter of activist Malcolm X, recalled the famous eulogy delivered by Davis at her father's funeral.",unknown
